인식번호판,정답번호판,정오여부,신뢰도,투표수,확정여부,전처리방법,보정후번호판,처리시간(ms),인식시각,영상파일,이미지경로
24러7340,,미입력,0.6711,4,확정,,,140,2026-03-31 18:01:03,test21.mp4,/api/plate/image/test21/id_1_fixed.jpg
244러4668,,미입력,0.8126,4,확정,,,163,2026-03-31 18:01:10,test21.mp4,/api/plate/image/test21/id_8_fixed.jpg
38소4129,,미입력,0.793,4,확정,,,141,2026-03-31 18:01:24,test21.mp4,/api/plate/image/test21/id_30_fixed.jpg
190호7103,,미입력,0.4585,4,확정,,,620,2026-04-01 14:02:27,test04.mp4,/api/plate/image/test04/id_3_fixed.jpg
92머8588,,미입력,0.407,4,확정,,,160,2026-04-01 14:03:06,test04.mp4,/api/plate/image/test04/id_10_fixed.jpg
140호8870,,미입력,0.6171,4,확정,,,179,2026-04-01 14:03:17,test05.mp4,/api/plate/image/test05/id_1_fixed.jpg
140호8871,,미입력,0.3719,1,미확정,,,157,2026-04-01 14:04:15,test05.mp4,/api/plate/image/test05/id_5_first.jpg
141허8380,,미입력,0.4545,4,확정,,,153,2026-04-01 14:04:48,test05.mp4,/api/plate/image/test05/id_21_fixed.jpg
52우5470,,미입력,0.8196,4,확정,,,154,2026-04-01 14:26:50,test01.mp4,/api/plate/image/test01/id_14_fixed.jpg
103로1819,,미입력,0.4338,1,미확정,,,156,2026-04-01 14:27:01,test01.mp4,/api/plate/image/test01/id_23_first.jpg
26부9316,,미입력,0.8139,4,확정,,,193,2026-04-01 14:27:07,test01.mp4,/api/plate/image/test01/id_36_fixed.jpg
26무9316,,미입력,0.7966,2,미확정,,,197,2026-04-01 14:27:06,test01.mp4,/api/plate/image/test01/id_36_first.jpg
59로4761,,미입력,0.4943,4,확정,,,148,2026-04-01 14:27:24,test01.mp4,/api/plate/image/test01/id_54_fixed.jpg
67가7419,,미입력,0.8407,4,확정,,,143,2026-04-01 14:27:27,test01.mp4,/api/plate/image/test01/id_57_fixed.jpg
160호2371,,미입력,0.3426,4,확정,,,151,2026-04-01 14:27:35,test02.mp4,/api/plate/image/test02/id_2_fixed.jpg
160도2371,,미입력,0.3437,2,미확정,,,159,2026-04-01 14:28:25,test02.mp4,/api/plate/image/test02/id_14_first.jpg
59로4761,,미입력,0.7081,4,확정,,,159,2026-04-01 14:28:25,test02.mp4,/api/plate/image/test02/id_16_fixed.jpg
51마6130,,미입력,0.5487,4,확정,,,157,2026-04-01 14:29:12,test02.mp4,/api/plate/image/test02/id_30_fixed.jpg
61조2505,,미입력,0.6668,4,확정,,,157,2026-04-01 14:30:06,test03.mp4,/api/plate/image/test03/id_1_fixed.jpg
31소7585,,미입력,0.6483,1,미확정,,,152,2026-04-01 14:30:52,test03.mp4,/api/plate/image/test03/id_14_first.jpg
13다8871,,미입력,0.6242,2,미확정,,,149,2026-04-01 14:31:04,test03.mp4,/api/plate/image/test03/id_27_first.jpg
182다9865,,미입력,0.6009,4,확정,,,156,2026-04-01 14:31:09,test03.mp4,/api/plate/image/test03/id_37_fixed.jpg
56보0832,,미입력,0.8464,4,확정,,,273,2026-04-02 09:54:52,test06.mp4,/api/plate/image/test06/id_1_fixed.jpg
39오8738,,미입력,0.6243,4,확정,,,381,2026-04-02 09:55:12,test06.mp4,/api/plate/image/test06/id_2_fixed.jpg
61소9325,,미입력,0.7612,4,확정,,,215,2026-04-02 09:56:03,test06.mp4,/api/plate/image/test06/id_7_fixed.jpg
28노0771,,미입력,0.705,4,확정,,,166,2026-04-02 09:56:13,test06.mp4,/api/plate/image/test06/id_12_fixed.jpg
22고5363,,미입력,0.8248,4,확정,,,157,2026-04-02 09:56:18,test06.mp4,/api/plate/image/test06/id_13_fixed.jpg
20마5024,,미입력,0.8172,4,확정,,,165,2026-04-02 09:56:38,test06.mp4,/api/plate/image/test06/id_19_fixed.jpg
